address,square_feet,market_values,sales_prices,year_built,bedrooms,bathrooms,garage_sqft,garage_apt_sqft,porch_sqft,unfin_attic_sqft
1829 PIONEER ST,1358,"{2023: 472500, 2022: 430500}",{2021: 433000},2021,3,2.5,396,0,108,0
1833 PIONEER ST,1358,"{2023: 472500, 2022: 395500}",{},2021,3,2.5,396,0,108,0
1837 PIONEER ST,1358,"{2023: 473000, 2022: 396000}",{2021: 404000},2021,3,2.5,396,0,108,0
1841 PIONEER ST,1425,"{2023: 485000, 2022: 405500}",{2021: 379000},2021,3,2.5,396,0,108,0
1900 PIONEER ST,2334,{2023: 708000},{2022: 695500},2021,3,2.5,657,0,439,0
1901 PIONEER ST,1751,{2023: 559500},{2022: 574500},2021,3,2.5,483,0,367,0
1904 PIONEER ST,2019,"{2023: 636500, 2022: 527500}",{2021: 533500},2021,3,2.5,528,0,513,0
1905 PIONEER ST,2334,{2023: 691500},{2022: 695000},2022,3,2.5,624,0,346,0
1908 PIONEER ST,2265,{2023: 786000},{2022: 716500},2021,3,3.5,969,441,326,0
1909 PIONEER ST,1926,{},{2023: 805000},2022,3,2.5,528,0,362,0
1912 PIONEER ST,2866,{},{2023: 895000},2021,4,3.5,528,0,354,99
1913 PIONEER ST,2021,{},{2023: 685000},2022,3,2.5,575,0,338,0
1916 PIONEER ST,2338,{2023: 733500},{2022: 732500},2021,3,3.0,552,0,478,0
1917 PIONEER ST,1774,{},{2023: 620000},2022,3,2.5,600,0,233,0
1920 PIONEER ST,3206,{},{2023: 989500},2022,4,3.5,690,0,494,0
1921 PIONEER ST,2730,{},{},2023,4,3.5,593,0,874,0
1700 RUNWAY BLVD,2965,"{2023: 914500, 2022: 897000}",{2021: 913500},2021,4,3.5,630,0,424,383
1701 RUNWAY BLVD,2200,"{2023: 661500, 2022: 661500, 2021: 661500}",{2020: 665000},2020,4,2.5,967,462,267,0
1704 RUNWAY BLVD,2448,"{2023: 608000, 2022: 608000, 2021: 608000}",{2020: 610000},2020,4,3.5,528,0,444,0
1705 RUNWAY BLVD,2402,"{2023: 575500, 2022: 575500, 2021: 575500}",{2020: 583500},2020,3,2.5,528,0,504,0
1708 RUNWAY BLVD,2078,"{2023: 788000, 2022: 670000, 2021: 590000}",{2020: 589000},2020,4,3.5,982,432,258,0
1709 RUNWAY BLVD,1486,"{2023: 559000, 2022: 466500, 2021: 466500, 2020: 466500}",{2019: 486000},2019,3,2.5,500,0,246,0
1712 RUNWAY BLVD,1745,"{2023: 593000, 2022: 495500, 2021: 437000}",{2020: 429000},2019,3,2.5,556,0,248,0
1713 RUNWAY BLVD,1531,"{2023: 514000, 2022: 433000, 2021: 381500}",{2020: 389000},2019,3,2.5,506,0,478,258
1716 RUNWAY BLVD,1508,"{2023: 510500, 2022: 433500, 2021: 369500}",{2020: 359500},2019,3,2.5,396,0,108,0
1717 RUNWAY BLVD,2453,"{2023: 591000, 2022: 591000, 2021: 419000, 2020: 446000}","{2021: 599000, 2019: 455000}",2019,3,2.5,440,0,296,164
1718 RUNWAY BLVD,1508,"{2023: 427500, 2022: 433500, 2021: 369500}","{2022: 426000, 2020: 359500}",2019,3,2.5,396,0,108,0
1720 RUNWAY BLVD,1508,"{2023: 510500, 2022: 433500, 2021: 369500, 2020: 341000}",{2019: 359500},2019,3,2.5,396,0,108,0
1721 RUNWAY BLVD,1491,"{2023: 542500, 2022: 372500, 2021: 372500, 2020: 372500}",{2019: 369000},2019,3,2.5,480,0,304,0
1724 RUNWAY BLVD,2484,"{2023: 804000, 2022: 682000, 2021: 563500, 2020: 568500}",{2019: 605000},2019,4,3.5,528,0,231,0
1725 RUNWAY BLVD,1955,"{2023: 669000, 2022: 485500, 2021: 490500, 2020: 485500}",{2019: 506000},2019,3,2.5,528,0,422,0
1728 RUNWAY BLVD,1955,"{2023: 629000, 2022: 629000, 2021: 534500, 2020: 534500}",{2019: 557000},2019,3,2.0,1056,528,422,0
1729 RUNWAY BLVD,2390,"{2023: 784000, 2022: 663500, 2021: 548000}","{2023: 770000, 2020: 564000}",2019,4,3.5,575,0,308,0
1732 RUNWAY BLVD,2253,"{2023: 727500, 2022: 614000, 2021: 511000, 2020: 513500}",{2019: 520500},2019,4,3.5,440,0,296,0
1733 RUNWAY BLVD,1491,"{2023: 506000, 2022: 427000, 2021: 380500, 2020: 377000}",{2019: 361000},2019,3,2.5,480,0,160,0
1736 RUNWAY BLVD,2432,"{2023: 798000, 2022: 674500, 2021: 580000}",{2020: 600000},2019,4,3.5,484,0,470,0
1737 RUNWAY BLVD,2642,"{2023: 708000, 2022: 708000, 2021: 708000}",{2020: 734000},2020,3,3.5,598,0,484,0
1800 RUNWAY BLVD,2516,"{2023: 653000, 2022: 653000}",{2021: 662000},2020,3,2.5,638,0,517,0
1801 RUNWAY BLVD,2968,"{2023: 685500, 2022: 685500, 2021: 685500}",{2020: 689000},2019,4,3.0,484,0,410,0
1804 RUNWAY BLVD,2390,"{2023: 937000, 2022: 632500, 2021: 632500, 2020: 632500}",{2019: 626500},2019,4,4.5,1075,500,308,0
1805 RUNWAY BLVD,2211,"{2023: 744000, 2022: 490500, 2021: 490500, 2020: 490500}",{2019: 486000},2019,3,2.5,572,0,170,0
1808 RUNWAY BLVD,1403,"{2023: 478000, 2022: 402000, 2021: 358000, 2020: 356500}",{2019: 370000},2019,3,1.5,480,0,160,0
1809 RUNWAY BLVD,1596,"{2023: 523500, 2022: 441000, 2021: 394000, 2020: 390500}",{2019: 379000},2019,3,2.5,480,0,314,0
1812 RUNWAY BLVD,2161,"{2023: 673500, 2022: 521000, 2021: 521000, 2020: 521000}",{2019: 543000},2019,3,2.5,440,0,253,0
1813 RUNWAY BLVD,1339,"{2023: 461000, 2022: 391000, 2021: 337500, 2020: 329000}","{2021: 400000, 2019: 339000}",2019,3,2.5,396,0,108,0
1815 RUNWAY BLVD,1339,"{2023: 461000, 2022: 391000, 2021: 337500, 2020: 329000}","{2022: 425000, 2019: 335000}",2019,3,2.5,396,0,108,0
1816 RUNWAY BLVD,1669,"{2023: 353500, 2022: 353500, 2021: 349000, 2020: 349000}",{2019: 346000},2019,3,2.5,484,0,324,0
1817 RUNWAY BLVD,1339,"{2023: 461000, 2022: 391000, 2021: 337500, 2020: 329000}",{2019: 327500},2019,3,2.5,396,0,108,0
